BENE_SEX_IDENT_CD,BENE_AGE_CAT_CD,CC_ALZHDMTA,CC_CANCER,CC_CHF,CC_CHRNKIDN,CC_COPD,CC_DEPRESSN,CC_DIABETES,CC_ISCHMCHT,CC_OSTEOPRS,CC_RA_OA,CC_STRKETIA,CC_2_OR_MORE,DUAL_STUS,BENE_COUNT_PA_EQ_12,AVE_PA_PAY_PA_EQ_12,AVE_IP_PAY_PA_EQ_12,AVE_SNF_PAY_PA_EQ_12,AVE_OTH_PAY_PA_EQ_12,AVE_IP_ADM_PA_EQ_12,AVE_SNF_DAYS_PA_EQ_12,BENE_COUNT_PB_EQ_12,AVE_PB_PAY_PB_EQ_12,AVE_CA_PAY_PB_EQ_12,AVE_OP_PAY_PB_EQ_12,AVE_OTH_PAY_PB_EQ_12,AVE_CA_VST_PB_EQ_12,AVE_OP_VST_PB_EQ_12,BENE_COUNT_PD_EQ_12,AVE_PDE_CST_PD_EQ_12,AVE_PDE_PD_EQ_12,Plan_A_Total_Cost,Plan_B_Total_Cost,Plan_D_Total_Cost
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57154.0,1442.0,1368.0,28.0,46.0,0.16899999999999998,0.057,52547.0,2375.0,1270.0,875.0,230.0,5.032,2.5839999999999996,25728.0,2864.0,37.4,1442.0,2375.0,2864.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,33716.0,2461.0,2295.0,92.0,74.0,0.244,0.254,32672.0,3369.0,1635.0,1266.0,468.0,5.747999999999999,4.525,36748.0,4208.0,44.224,2461.0,3369.0,4208.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1655.0,5355.0,4883.0,324.0,148.0,0.584,0.7490000000000001,1582.0,4025.0,2332.0,1258.0,435.0,7.982,4.322,668.0,3319.0,42.306999999999995,5355.0,4025.0,3319.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1147.0,7817.0,6575.0,937.0,305.0,0.684,2.392,1116.0,5484.0,2826.0,1817.0,841.0,7.659,6.612,1114.0,4536.0,53.924,7817.0,5484.0,4536.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8252.0,2600.0,2366.0,85.0,149.0,0.257,0.182,8074.0,4615.0,2844.0,1346.0,425.0,9.184,3.9760000000000004,3642.0,3259.0,44.756,2600.0,4615.0,3259.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,5291.0,3086.0,2750.0,198.0,138.0,0.29600000000000004,0.445,5229.0,5538.0,2691.0,1842.0,1005.0,9.735,5.992999999999999,5570.0,4466.0,54.222,3086.0,5538.0,4466.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,250.0,4611.0,3842.0,561.0,208.0,0.552,1.2,246.0,6035.0,3314.0,1873.0,848.0,11.764000000000001,5.5729999999999995,99.0,3045.0,46.394,4611.0,6035.0,3045.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,229.0,8156.0,7088.0,3884.5305490458654,1405.2687479075996,0.782,10.00132281553398,229.0,7549.0,3836.0,1879.0,1834.0,11.389000000000001,7.563,233.0,5407.0,59.155,12377.799296953464,7549.0,5407.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,745.0,3112.0,2762.0,3884.5305490458654,1405.2687479075996,0.266,10.00132281553398,726.0,4954.0,2622.0,1600.0,732.0,10.054,4.81,306.0,4715.0,41.98,8051.799296953464,4954.0,4715.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,737.0,4315.0,4025.0,190.0,100.0,0.406,0.634,727.0,5517.0,2750.0,1670.0,1097.0,8.53,6.664,760.0,7012.0,65.229,4315.0,5517.0,7012.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,34.0,18914.0,12013.079511329512,3884.5305490458654,1405.2687479075996,1.1633698471198473,10.00132281553398,34.0,9742.0,5064.0,2664.0,2014.0,10.529000000000002,9.588,36.0,4615.0,61.278,17302.878808282978,9742.0,4615.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,366.0,2334.0,2140.0,3884.5305490458654,1405.2687479075996,0.322,10.00132281553398,360.0,6246.0,4045.0,1639.0,562.0,13.130999999999998,4.683,156.0,5001.0,51.486999999999995,7429.799296953464,6246.0,5001.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,268.0,5229.0,4590.0,3884.5305490458654,1405.2687479075996,0.44,10.00132281553398,266.0,8955.0,4143.0,1902.0,2910.0,11.823,7.267,270.0,6584.0,64.859,9879.799296953464,8955.0,6584.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92809.0,920.0,822.0,37.0,61.0,0.109,0.09300000000000001,86559.0,2326.0,1287.0,587.0,452.0,5.105,2.8360000000000003,47146.0,3341.0,43.306999999999995,920.0,2326.0,3341.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,93177.0,1518.0,1361.0,95.0,62.0,0.15,0.255,91050.0,2891.0,1299.0,873.0,719.0,5.526,4.81,101347.0,5359.0,56.625,1518.0,2891.0,5359.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1797.0,4541.0,3911.0,362.0,268.0,0.479,0.857,1699.0,3297.0,1761.0,916.0,620.0,6.582000000000001,4.006,723.0,3143.0,46.342,4541.0,3297.0,3143.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1417.0,7212.0,5587.0,1283.0,342.0,0.541,3.157,1381.0,5672.0,2383.0,1743.0,1546.0,6.689,6.442,1446.0,4891.0,66.684,7212.0,5672.0,4891.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12677.0,1681.0,1450.0,105.0,126.0,0.166,0.235,12393.0,3608.0,2059.0,916.0,633.0,8.821,3.8,6030.0,3789.0,50.513000000000005,1681.0,3608.0,3789.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,10289.0,2372.0,2000.0,241.0,131.0,0.209,0.633,10170.0,4801.0,2293.0,1299.0,1209.0,9.296,5.83,10880.0,5366.0,64.663,2372.0,4801.0,5366.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,199.0,5203.0,4211.0,624.0,368.0,0.5429999999999999,1.3019999999999998,197.0,5143.0,2900.0,1121.0,1122.0,10.584000000000001,4.548,72.0,2196.0,46.417,5203.0,5143.0,2196.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,194.0,9368.0,7590.0,1246.0,532.0,0.701,2.866,190.0,8285.0,4068.0,1945.0,2272.0,11.579,8.142000000000001,201.0,5410.0,73.71600000000001,9368.0,8285.0,5410.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1228.0,1659.0,1592.0,3884.5305490458654,1405.2687479075996,0.187,10.00132281553398,1196.0,4410.0,2370.0,1051.0,989.0,9.202,4.375,537.0,5508.0,47.586999999999996,6881.799296953464,4410.0,5508.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1667.0,2447.0,2148.0,181.0,118.0,0.22699999999999998,0.544,1658.0,4906.0,2154.0,1265.0,1487.0,8.397,6.232,1697.0,7777.0,73.45,2447.0,4906.0,7777.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,37.0,18015.0,12013.079511329512,3884.5305490458654,1405.2687479075996,1.1633698471198473,10.00132281553398,37.0,9659.0,5168.0,3136.0,1355.0,12.350999999999999,9.838,37.0,8619.0,65.21600000000001,17302.878808282978,9659.0,8619.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,457.0,3098.0,2835.0,3884.5305490458654,1405.2687479075996,0.284,10.00132281553398,454.0,6100.0,3870.0,1429.0,801.0,12.895999999999999,4.773,191.0,4654.0,53.518,8124.799296953464,6100.0,4654.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,437.0,4382.0,3616.0,465.0,301.0,0.34600000000000003,0.998,433.0,7497.0,4157.0,1631.0,1709.0,13.677,6.752999999999999,443.0,8213.0,73.016,4382.0,7497.0,8213.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,35939.0,1800.0,1687.0,38.0,75.0,0.213,0.084,33731.0,3133.0,1616.0,1024.0,493.0,6.981,3.322,16382.0,3794.0,51.891999999999996,1800.0,3133.0,3794.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,20068.0,2767.0,2506.0,161.0,100.0,0.275,0.41,19640.0,4453.0,2018.0,1503.0,932.0,7.699,5.721,21802.0,5786.0,68.4,2767.0,4453.0,5786.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1346.0,6239.0,5477.0,350.0,412.0,0.6659999999999999,0.7440000000000001,1275.0,5399.0,2804.0,1605.0,990.0,9.324,4.671,520.0,3610.0,53.313,6239.0,5399.0,3610.0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,931.0,9869.0,8147.0,1247.0,475.0,0.8140000000000001,3.267,909.0,7810.0,3554.0,2295.0,1961.0,9.516,7.733,933.0,5187.0,73.48,9869.0,7810.0,5187.0
